Date,Rate,,
4/15/2023,4.16,,
4/16/2023,4.51,,
4/17/2023,6.01,,
4/18/2023,4.863496247,,
4/19/2023,2.439288856,,
4/20/2023,1.777434537,,
4/21/2023,3.252256517,,
4/22/2023,3.88214565,,
4/23/2023,7.070795025,,
4/24/2023,0.060801201,,
4/25/2023,3.740847095,,
4/26/2023,6.363045651,,
4/27/2023,0.48175938,,
4/28/2023,5.062470335,,
4/29/2023,4.140632955,,
4/30/2023,1.60809441,,
5/1/2023,2.907957935,,
5/2/2023,0.497050013,,
5/3/2023,6.847452517,,
5/4/2023,5.391712671,,
5/5/2023,0.154207834,,
5/6/2023,1.570328056,,
5/7/2023,3.632521436,,
5/8/2023,0.94072501,,
5/9/2023,6.557993941,,
5/10/2023,9.270547809,,
5/11/2023,2.138402165,,
5/12/2023,1.173561313,,
5/13/2023,7.58079052,,
5/14/2023,10.48526846,,
5/15/2023,10.62245387,,
5/16/2023,5.013846827,,
5/17/2023,1.113883173,,
